"strIdPl","strIdLo","strYear","numJulFl"
"ALATBTP0","BDC02",2016,194
"CAQUBTP0","AWC21",1998,180
"CAQUBTP0","AWC15",2012,-999.9
"CPRABIN2","BWE17",1996,0
"CSTABTP0","BWE01",1997,192
"CSTABTP0","BWC02",2014,-999.9
"CSTABTP0","BWC20",2014,0
"DFISBTP0","BWE11",2013,0
"DFISBTP0","BWE23",2013,-999.9
"DFISBTP0","BWE13",2016,201
"DLAPBIN2","ADC05",1998,0
"DLAPBTP0","ADE08",2007,183
"DLAPBIN1","ADC20",2008,178
"DLAPBIN3","ADE05",2008,175
"DLAPBIN1","ADE08",2008,175
"DLAPBIN2","ADE10",2008,175
"DLAPBTP0","ADC05",2010,180
"DLAPBTP0","ADC11",2011,-999.9
"DLAPBTP0","ADC03",2015,176
"DLAPBTP0","ADE24",2015,165
"EANGBTP0","AWC12",2011,0
"EANGBTP0","AWE20",2019,0
"ETRIBTP0","BWC06",2019,0
"HALPBTP0","ADE03",2010,186
"HALPBTP0","ADC14",2012,175
"HALPBTP0","ADC24",2013,0
"HALPBTP0","ADE02",2013,181
"HALPBTP0","ADC14",2015,176
"HALPBTP0","ADC06",2016,179
"HALPBTP0","ADE04",2017,0
"JBIGBIN1","BWE03",1997,204
"LARCBTP0","BDE15",2011,0
"LCONBTP0","ADE03",2008,175
"LCONBTP0","ADE03",2011,197
"LCONBTP0","ADE19",2012,182
"LCONBTP0","ADC14",2015,165
"LCONBTP0","ADE19",2015,176
"LCONBTP0","ADC06",2016,174
"LCONBTP0","ADE11",2016,-999.9
"LCONBTP0","ADE13",2018,-999.9
"LCONBTP0","ADC24",2019,-999.9
"LPALBTP0","ADE02",2007,183
"LPALBTP0","ADC05",2012,181
"LPALBTP0","ADC09",2016,0
"LPALBTP0","ADC24",2016,164
"LPALBTP0","ADC02",2018,192
"PARCBTP0","BDE15",2016,189
"PHYPBTP0","BDE04",2011,0
"PHYPBTP0","BDE02",2015,0
"PHYPBTP0","BDE02",2016,-999.9
"PHYPBTP0","BDE11",2017,190
"SHIEBIN5","BWC18",1998,-999.9
"SHIEBTP0","BWC06",2017,200
"SLAEBIN2","BWE16",1997,0
"SLAEBTP0","BWC24",2010,0
"SLAEBTP0","BWE04",2012,0
"SLAEBTP0","BDC06",2015,-999.9
"SROTFIN1","BDC01",1997,186
"SROTFIN2","BDC01",1997,186
"SROTFIN3","BDC01",1997,186
"SROTFTP0","BDC01",1997,183
"SROTFIN2","BDC02",1997,186
"SROTFTP0","BDC02",1997,180
"SROTFIN3","BDC20",1999,181
"SROTFTP0","BDC02",2010,-999.9
"SROTFTP0","BDC02",2011,171
"SROTFTP0","BDE01",2015,162
"SROTFTP0","BDE20",2016,178
"SROTMTP0","BDC02",2010,-999.9
"SROTMTP0","BDC02",2011,171
"SROTMTP0","BDC18",2013,-999.9
"SROTMTP0","BDE01",2015,162
"TSPIBTP0","ADC02",2016,0
"VVITBIN2","ADE20",1998,0
"VVITBIN3","ADC15",1999,195
"VVITBIN3","ADE10",1999,0
"VVITBIN2","ADE14",1999,0
"VVITBIN1","ADE16",1999,0
"VVITBTP0","ADE14",2007,190
"VVITBTP0","ADC14",2014,193
"VVITBTP0","ADE10",2015,176
"VVITBTP0","ADE04",2016,182
"VVITBTP0","ADE09",2017,205
"VVITBTP0","ADE17",2019,190
"AALPBTP0","BDC02",1994,209
"AALPBTP0","BDC19",1994,0
"AALPBTP0","BDE03",1994,0
"AALPBTP0","BDE05",1994,206
"AALPBTP0","BDE06",1994,219
"AALPBTP0","BDE07",1994,202
"AALPBTP0","BDC02",1995,214
"AALPBTP0","BDE03",1995,223
"AALPBTP0","BDE05",1995,207
"AALPBTP0","BDE06",1995,223
"AALPBTP0","BDE07",1995,211
"AALPBIN1","BWE12",1995,0
"AALPBTP0","BWE12",1995,0
"AALPBTP0","BDC02",1996,200
"AALPBTP0","BDE04",1996,0
"AALPBTP0","BDE05",1996,186
"AALPBTP0","BDE06",1996,183
"AALPBTP0","BDE07",1996,189
"AALPBIN1","BWE12",1996,0
"AALPBIN2","BWE12",1996,0
"AALPBTP0","BWE12",1996,0
"AALPBIN1","BDC02",1997,206
"AALPBIN2","BDC02",1997,206
"AALPBIN3","BDC02",1997,206
"AALPBTP0","BDC02",1997,206
"AALPBIN1","BDE03",1997,0
